Country/Region,Population
Mainland China,"1,401,841,400"
Hong Kong,"7,500,700"
Macau,"679,600"
Taiwan,"23,604,265"
US,"329,482,326"
Japan,"126,010,000"
Thailand,"66,483,567"
South Korea,"51,780,579"
Singapore,"5,703,600"
Philippines,"108,429,283"
Malaysia,"32,724,760"
Vietnam,"96,208,984"
Australia,"25,651,966"
Mexico,"126,577,691"
Brazil,"211,279,344"
Colombia,"49,395,678"
France,"67,069,000"
Nepal,"29,609,623"
Canada,"37,963,887"
Cambodia,"15,288,489"
Sri Lanka,"21,803,000"
Ivory Coast,"25,823,071"
Germany,"83,149,300"
Finland,"5,527,573"
United Arab Emirates,"9,890,400"
India,"1,360,013,641"
Italy,"60,243,406"
UK,"66,435,600"
Russia,"146,745,098"
Sweden,"10,333,456"
Spain,"47,100,396"
Belgium,"11,524,454"
Egypt,"100,146,158"
Iran,"83,295,597"
Israel,"9,174,150"
Lebanon,"6,825,442"
Iraq,"39,127,900"
Oman,"4,664,790"
Afghanistan,"32,225,560"
Bahrain,"1,543,300"
Kuwait,"4,420,110"
Austria,"8,902,600"
Algeria,"43,000,000"
Croatia,"4,076,246"
Switzerland,"8,586,550"
Pakistan,"219,005,520"
Georgia,"3,723,464"
Greece,"10,724,599"
North Macedonia,"2,077,132"
Norway,"5,367,580"
Romania,"19,405,156"
Denmark,"5,822,763"
Estonia,"1,328,360"
Netherlands,"17,446,481"
San Marino,"33,574"
 Azerbaijan,"10,067,108"
Belarus,"9,413,446"
Iceland,"364,260"
Lithuania,"2,793,350"
New Zealand,"4,971,711"
Nigeria,"206,139,587"
Ireland,"4,921,500"
Luxembourg,"613,894"
Monaco,"38,300"
Qatar,"2,747,282"
Azerbaijan,"10,067,108"
Czech Republic,"10,693,939"
Armenia,"2,957,500"
Dominican Republic,"10,358,320"
Indonesia,"266,911,900"
Portugal,"10,276,617"
Andorra,"77,543"
Latvia,"1,906,800"
Morocco,"35,844,167"
Saudi Arabia,"34,218,169"
Senegal,"16,209,125"
Argentina,"44,938,712"
Chile,"19,107,216"
Jordan,"10,639,984"
Ukraine,"41,902,416"
Saint Barthelemy,"9,793"
Hungary,"9,772,756"
Faroe Islands,"52,124"
Gibraltar,"33,701"
Liechtenstein,"38,749"
Poland,"38,386,000"
Tunisia,"11,722,038"
Bosnia and Herzegovina,"3,301,000"
Slovenia,"2,094,060"
South Africa,"58,775,022"
Bhutan,"741,672"
Cameroon,"26,545,864"
Costa Rica,"5,058,007"
Peru,"32,131,400"
Serbia,"6,963,764"
Slovakia,"5,456,362"
Togo,"7,538,000"
Vatican City,799
Malta,"493,559"
Bulgaria,"7,000,039"
Maldives,"374,775"
Bangladesh,"168,298,782"
Moldova,"2,681,735"
Paraguay,"7,152,703"
Albania,"2,862,427"
Cyprus,"875,900"
Brunei,"442,400"
Burkina Faso,"20,870,060"
Mongolia,"3,308,460"
Panama,"4,218,808"
Bolivia,"11,469,896"
Honduras,"9,158,345"
Jamaica,"2,726,667"
Turkey,"83,154,997"
Cuba,"11,209,628"
Guyana,"782,766"
Kazakhstan,"18,666,464"
Cayman Islands,"65,813"
Ethiopia,"98,665,000"
Sudan,"42,358,885"
Guinea,"12,218,357"
Antigua and Barbuda,"96,453"
Kenya,"47,564,296"
Uruguay,"3,518,552"
Ghana,"30,280,811"
Jersey,"106,800"
Namibia,"2,458,936"
Seychelles,"97,625"
Trinidad and Tobago,"1,363,985"
Venezuela,"32,219,521"
Eswatini,"1,093,238"
Gabon,"2,172,579"
Guatemala,"16,604,026"
Guernsey,"62,792"
Mauritania,"4,077,347"
Rwanda,"12,374,397"
Saint Lucia,"178,696"
Suriname,"581,372"
Kosovo,"1,795,666"
Central African Republic,"5,496,011"
Equatorial Guinea,"1,358,276"
Uzbekistan,"34,079,570"
Guam,"172,400"
Puerto Rico,"3,193,694"
Benin,"11,733,059"
Greenland,"56,081"
Liberia,"4,475,353"
Somalia,"15,893,219"
Tanzania,"55,890,747"
Barbados,"287,025"
Montenegro,"622,359"
The Gambia,"2,347,706"
Kyrgyzstan,"6,523,500"
Mauritius,"1,265,985"
Zambia,"17,381,168"
Djibouti,"1,078,373"
Chad,"15,692,969"
El Salvador,"6,486,201"
Fiji,"884,887"
Nicaragua,"6,460,411"
